fighter,avg_KD,avg_opp_KD,avg_SIG_STR_pct,avg_opp_SIG_STR_pct,avg_TD_pct,avg_opp_TD_pct,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age,fighter_id,fighter_country
Adrian Yanez,1.0,0.0,0.5,0.46,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,13.0,6.0,35.0,18.0,16.0,9.0,0.0,0.0,3.0,0.0,32.0,15.0,11.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,33.0,16.0,12.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,166.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,170.18,177.8,135.0,27.0,adrian-yanez,usa
Tai Tuivasa,0.546875,0.1875,0.53890625,0.59859375,0.0,0.3125,0.0,0.25,0.0,0.0,59.234375,30.375,43.8125,24.796875,70.5,41.390625,50.234375,30.90625,0.03125,0.0,2.84375,1.75,42.5,16.78125,34.296875,17.9375,5.78125,4.546875,6.125,3.71875,10.953125,9.046875,3.390625,3.140625,45.875,20.28125,36.34375,18.6875,11.328125,8.5625,1.4375,1.171875,2.03125,1.53125,6.03125,4.9375,82.453125,89.78125,448.203125,13,0,3,0,3,4,3,0,0,0,1,3,0,0,Southpaw,187.96,190.5,264.0,28.0,tai-tuivasa,australia
Cheyanne Buys,0.0471682548522949,0.0,0.45,0.4217682266235351,0.25,0.1917382812499999,0.1875,0.125,0.0,0.0,69.5,30.5,66.984375,27.8466796875,94.0,48.544921875,88.50390625,44.75,2.0,0.8125,2.015625,0.6640625,54.0,19.01513671875,51.483436584472656,16.9437255859375,7.91796875,5.430633544921875,7.75,5.0625,4.780975341796875,3.9373779296875,4.8994140625,3.84375,51.025390625,18.400863647460938,50.515625,17.5,5.75,3.75,5.5,3.5,5.375,3.6875,4.0,2.65625,104.865234375,89.5,655.8441009521484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,160.02,160.02,115.0,25.0,cheyanne-buys,usa
Macy Chiasson,0.125,0.0,0.535625,0.5787500000000001,0.185,0.16625,0.125,0.1875,0.25,0.0,109.1875,57.9375,50.625,28.4375,170.4375,105.625,74.375,44.25,5.375,1.5,2.0,0.625,77.375,31.375,41.5625,22.625,31.1875,26.1875,7.6875,4.9375,0.625,0.375,1.375,0.875,33.5625,11.0,32.0625,13.9375,39.0625,28.8125,13.3125,10.75,36.5625,18.125,5.25,3.75,390.25,156.3125,764.0,11,1,3,0,3,4,1,0,0,0,1,2,1,0,Orthodox,180.34,182.88,135.0,29.0,macy-chiasson,usa
Grant Dawson,0.0,0.0,0.515,0.4737499999999999,0.435,0.25,1.25,0.625,0.0,0.25,86.0,40.75,55.5,25.125,150.625,93.5,79.0,46.75,6.375,2.625,0.25,0.25,60.625,23.125,42.375,14.625,10.0,4.5,10.625,8.25,15.375,13.125,2.5,2.25,68.875,29.625,50.125,20.25,3.125,2.0,3.0,2.75,14.0,9.125,2.375,2.125,431.75,17.375,717.875,10,0,4,0,4,4,0,0,0,0,2,0,2,0,Switch,177.8,182.88,145.0,27.0,grant-dawson,usa
Max Griffin,0.046875,0.125,0.4592773437499999,0.4046875,0.3221875,0.0688671875,0.189453125,0.0,0.283203125,0.0,130.818359375,60.11328125,129.337890625,50.548828125,151.5546875,78.32421875,137.427734375,58.5078125,2.73046875,1.453125,1.552734375,0.28515625,102.328125,38.814453125,111.267578125,37.830078125,20.951171875,14.419921875,12.15625,7.1796875,7.5390625,6.87890625,5.9140625,5.5390625,125.130859375,55.888671875,122.193359375,45.869140625,5.03125,3.763671875,6.263671875,3.966796875,0.65625,0.4609375,0.880859375,0.712890625,148.5078125,80.09765625,809.53125,28,0,0,1,1,4,6,0,1,0,1,2,0,0,Orthodox,180.34,193.04,170.0,35.0,max-griffin,usa
Derek Brunson,0.0245513916015625,0.220703125,0.5156361389160156,0.44597412109375,0.3558242797851562,0.0,9.1552734375e-05,0.0,0.0,0.0,133.4735107421875,72.17990112304688,95.71842956542967,41.511474609375,150.52398681640625,88.71699523925781,102.1464385986328,47.68928527832031,8.111679077148438,3.008209228515625,2.1568603515625,0.0,98.62075805664062,46.65184020996094,66.27102661132812,20.73251342773437,22.163742065429688,15.460418701171877,21.706512451171875,16.6983642578125,12.689010620117188,10.067642211914062,7.740890502929687,4.080596923828125,102.85295104980467,50.01177978515625,84.9866943359375,32.964813232421875,11.84820556640625,7.16400146484375,10.287551879882812,8.20220947265625,18.77235412597656,15.004119873046877,0.444183349609375,0.344451904296875,157.81211853027344,3.515289306640625,683.1185607910156,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,185.42,195.58,185.0,37.0,derek-brunson,usa
Jesse Strader,0.015625,0.0,0.45,0.4275,0.25,0.2,0.148468017578125,0.098388671875,0.0,0.0,66.5,29.6875,64.31230545043945,27.34375,89.75,48.0,85.53125,44.41152191162109,2.0,0.75,2.0546875,0.75,51.1875,18.3359375,49.6123046875,16.280410766601562,7.5,5.07647705078125,7.5,5.0,4.5,3.625,4.984375,3.9375,48.6875,17.0,47.11572265625,16.5,5.75,3.75,5.3125,3.4375,5.0625,3.5,3.875,2.5,99.2119140625,94.125,638.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135.0,29.0,jesse-strader,unknown
JP Buys,0.015625,0.0,0.45,0.4275,0.25,0.2,0.148468017578125,0.098388671875,0.0,0.0,66.5,29.6875,64.31230545043945,27.34375,89.75,48.0,85.53125,44.41152191162109,2.0,0.75,2.0546875,0.75,51.1875,18.3359375,49.6123046875,16.280410766601562,7.5,5.07647705078125,7.5,5.0,4.5,3.625,4.984375,3.9375,48.6875,17.0,47.11572265625,16.5,5.75,3.75,5.3125,3.4375,5.0625,3.5,3.875,2.5,99.2119140625,94.125,638.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,125.0,24.0,jp-buys,south africa
Roman Dolidze,0.5,0.0,0.66,0.305,0.3,0.5,1.5,0.0,0.0,0.0,65.5,35.0,50.0,16.5,113.5,68.5,68.5,29.0,2.5,1.5,0.5,0.5,46.0,20.0,36.0,7.5,12.0,8.0,8.0,3.0,7.5,7.0,6.0,6.0,58.0,30.0,48.0,15.5,0.5,0.5,0.5,0.5,7.0,4.5,1.5,0.5,219.5,24.5,577.5,4,0,2,0,2,2,0,0,0,1,0,1,0,0,Orthodox,187.96,193.04,205.0,32.0,roman-dolidze,georgia
